,scrape_date,details,min_soil_temp,max_soil_temp,min_space,max_space,min_harvest_days,max_harvest_days,new_companions,S,T,P,avoids
10,2022-10-24 11:15:56.688391,"It is a rigid, erect plant 0.5-1.7 m tall, with stout stems with a square cross-section. The leaves are 10-25 cm long, pinnate with 2-7 leaflets, and of a distinct glaucous grey-green color.
Harvest 90 - 160 days depending on how cold the weather is. 
In windy areas it is best to provide some support with posts and string, otherwise the plants will fall across each other.
Pick the tops out once beans start setting to prevent blackfly.",43,75,6,10,84,154,"{'dill', 'potatoes'}",set(),set(),"{8, 9}",set()
11,2022-10-24 11:15:58.434345,"Keep well-watered as seedlings. If left without water they will bolt to seed and be inedible. The plants should grow to develop plenty of large healthy leaves, then the green flowerheads follow, which are cut for eating. Leave the plant growing after cutting the main flowerhead, and get additional crops from the sideshoots which will develop.
Watch for cabbage white butterflies and remove the eggs and caterpillars as soon as possible.
There are two main types of broccoli. The purple sprouting is hardier. The heading varieties cope well with warmer weather.
Once a plant opens its yellow flowers then it is generally past eating as the flavour gets a bit overpowering and the plant gets very woody. Harvest them sooner rather than later.
'Broccolini' is a variety grown for the edible stalks. Grow fast with plenty of water and food, and pick as soon as possible.",45,86,14,20,70,112,"{'oregano', 'dill', 'dwarf beans', 'marigold', 'celery', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans'}",{2},{4},"{3, 4}","{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'chili', 'climbing beans', 'eggplant', 'peppers'}"
12,2022-10-24 11:16:00.174047,"Grown for its small (typically 2.5 cm diameter) leafy green buds, which resemble miniature cabbages.
BETTER IN COOLER AREAS.
Brussel Sprouts will not grow good ""sprouts"" in warm areas - they open and are floppy.
In warm areas they are likely to be infested with aphids
Pick formed sprouts from the bottom of the stems leaving the plant growing.
 For winter use in very cold areas, dig up plants that have heads developed and set close together in a cold frame or cellar. Pack soil firmly round the roots. Keep cool but not freezing and they will continue to mature. (Planning an Idaho Vegetable Garden :
Educational Communication online Publishing Catalog Gardening  www.cals.uidaho.edu/ edComm/catalog.asp.)",45,86,18,24,98,196,"{'dill', 'dwarf beans', 'marigold', 'celery', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans'}",{3},{5},{5},"{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'climbing beans', 'eggplant', 'peppers (chili'}"
13,2022-10-24 11:16:01.915184,"Burdock grows wild on roadsides and waste places and around field boundaries throughout Britain, Europe and North America; it is cultivated in Japan. It grows to about 2m (6ft) high.
It has dark green leaves with a long tap root
Keep watch for seed heads as it can become an invasive weed. The prickly balls were the inspiration for the inventor of 'Velcro', George de Mestra.",50,68,24,24,119,126,set(),set(),set(),set(),set()
14,2022-10-24 11:16:03.348228,"There are many varieties of cabbage. 
Those which stand winter weather usually have darker leaves and a stronger flavour, e.g. Savoy.
Red cabbage is grown in a similar way to green varieties.
If you choose a selection of types you can have cabbage growing all year round in temperate zones.",41,64,20,30,77,105,"{'dill', 'dwarf beans', 'marigold', 'thyme', 'celery', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans'}",{3},{4},"{8, 9, 4, 7}","{'parsnip', 'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'climbing beans', 'eggplant', 'peppers (chili'}"
15,2022-10-24 11:16:04.714982,"A straggling bush up to one metre tall that bears yellow fruits inside a brown papery envelope. It is perennial. 
The cape gooseberry is related to tomatillo, ground cherry and husk tomato, all in the genus Physalis.
Cape Gooseberry is very easy to grow and as the fruit are popular with birds the plants can be easily spread around the garden. If you have plenty of room then plants grow better with 1.5m of space. Spacing closer works but you may get less fruit.",50,77,39,59,98,112,set(),{3},{5},{5},set()
16,2022-10-24 11:16:06.111826,"Small bushy plant about 40cm high.
The seeds are reluctant to start germinating if temperatures drop at night. These are best sown in small trays in a warm, sheltered place: a small greenhouse if possible. Plant out when about 10 -12cm (4-5in) tall.
They are from the same family as chilli but are not hot and spicy. The seeds and white flesh are bitter.
Capsicums are frost tender and need warmth to ripen the fruit to the brilliant reds and yellows of commercial ones. They can be used green but are not as sweet.
There are a number of colours available,  chocolate, black, yellow, orange as well as red. They all start off green and change as they ripen. 
In cool, wet weather cover with a cloche or frost fleece.",64,95,8,20,70,84,"{'parsley', 'aubergine', 'amaranth', 'nasturtiums', 'basil', 'eggplant'}","{2, 3}","{4, 5}","{4, 5}",set()
17,2022-10-24 11:16:07.542749,"Cardoon is a tender perennial from the same family as globe artichokes, grown as an annual for its young leaf-stalks.
Blanch the stems. Tie the leaves together in a bunch and wrap paper or sacking around the stems. Or, form a hill of soil around the stem.
Harvest  four to six weeks after blanching. Cut them off at ground level and trim off the outer leaves.",55,77,20,59,238,245,set(),set(),set(),{4},set()
18,2022-10-24 11:16:09.889931,"A hardy root vegetable which grows well in deep cool soil. 
Carrots take about 3 weeks to show themselves and the first leaves look like grass . 
If broadcast sowing, mix with radish seeds which will germinate quickly and indicate the sown area. In hotter or dry areas, water well before seeding then cover with boards to maintain the moisture and cool soil for more successful germination. Check every week or so.
Over fertilised ground will produce split roots.
Protect against carrot fly. It is best to put carrots in a different area of the garden each year for four or five years.",46,86,2,12,84,126,"{'rosemary', 'celery', 'leeks', 'onions', 'radishes', 'sage', 'peas', 'tomatoes', 'beans', 'lettuce'}",set(),set(),"{3, 4, 5, 6, 7}","{'dill', 'beetroot', 'parsnips', 'brassicas', 'fennel'}"
19,2022-10-24 11:16:11.332819,"Large leafed cabbage-like with a white 'curd' or flower forming in the centre. It can be hard to grow successfully. More frost sensitive than most brassicas, it's also not particularly heat tolerant. They tend to fail if stressed when transplanting.
Watch for cabbage white butterfly.
Grow better in cooler temperatures. Not suitable for warm areas.
Break a leaf over the head to prevent the curd becoming discoloured",50,86,24,39,105,154,"{'dill', 'dwarf beans', 'marigold', 'celery', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans'}","{2, 3}",{4},{4},"{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'climbing beans', 'eggplant', 'peppers (chili'}"
20,2022-10-24 11:16:12.772223,"A form of celery which has a swollen root and lower stem.
Raise seeds in individual pots and plant out after last frost to give them plenty of time to develop a good root.
Grow in a very fertile, rich soil. Water generously.
In cold climates start under glass in late winter/early spring",46,70,18,31,98,196,"{'leeks', 'carrots', 'onions', 'sage', 'peas', 'tomatoes', 'beans', 'brassicas', 'lettuce'}",{3},{5},{5},set()
21,2022-10-24 11:16:14.199663,"Most varieties improve with blanching but there are some self-blanching varieties available.
To Blanch: plant in trenches 15- 20 cm (6-8 in) deep and 20cm (8in) apart. Leave about 40 cm (17 in) between rows. Fill the trenches gradually and keep well watered as the plants grow. The plants can be lifted to use, as needed after about 11 weeks. 
Alternatively wrap the plants in sleeves of paper or black plastic.
Celery needs moist fertile soil.",54,70,6,12,119,126,set(),"{2, 3}","{5, 6}",set(),{'sweetcorn'}
22,2022-10-24 11:16:15.632158,"Harvest - to prepare to store for forcing at around 4-5 months . The second stage, blanching will take 8 - 12 weeks.
To Blanch:- Lift the plants and cut off the leaves about 5cm (2in) above the roots. Shorten the roots to about 20-25cm (8-10in) and replant close together (3-5cm apart)in a pot filled with loose soil. Keep damp but not soggy.
 Cover to exclude light and keep out of the sunlight, but not below 10 C (50 F)
Exclude light until you use the witloof, if it goes green it will be bitter.",50,68,10,12,112,168,"{'tomatoes.', 'florence fennel', 'carrots', 'onions'}",{3},{5},"{4, 5}",set()
23,2022-10-24 11:16:17.376523,"Small bushy plants. Dark green ovate leaves.
Chilli need warm frost free weather, so protect with glass or plastic covers if planting outside in cooler areas.
Most varieties need a long growing period to produce many fruit.
There are many types of chilli. Some are more fiery than others. As a general rule, the smaller the pod the hotter the taste.",64,95,16,20,63,77,set(),{3},"{5, 6}","{5, 6}",set()
24,2022-10-24 11:16:19.013427,"Large oval shape with crinkly light green leaves and white stems. Wider at the base.
Grows easily from seeds. Prefers cooler weather.
Best grown fast with plenty of fertiliser and water. 
Watch for slugs and snails.",50,68,12,12,56,70,"{'dill', 'dwarf beans', 'marigold', 'potatoes', 'celery', 'corinander', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans', 'lettuce'}",{5},{6},{6},"{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'chili', 'climbing beans', 'eggplant', 'peppers'}"
25,2022-10-24 11:16:20.752398,"Grass-like leaves in clumps. Likes full sun but not too dry.
Chives are a perennial but die down in winter. You can dig up a small clump to pot up for indoor use in winter.
Remove flowers to encourage a continuous supply of leaves.
If weeding gets away from you, you can easily distinguish chives from grass because chives have a hollow leaf stem and onion smell.",50,86,2,2,49,77,"{'apples', 'parsley', 'tomatoes', 'carrots'}","{3, 7}","{8, 5}","{4, 5}",set()
26,2022-10-24 11:16:22.490870,"Choko is only suitable for warmer climates but frequent hot nights will slow flowering. Fruit production is highest when night temperatures range from 59-68F (15-20C).
Plant in a warm, unused corner of the garden. Leave the shoot sticking out of the ground and it will take off.
Choko needs a long growing season, about 4 - 6 months but in that time it will spread and can be useful to cover old sheds or fences! 
An average household would need one or two plants.
Leaves rather like cucumber and some prickles on the fruit. 
Some variation in fruit, with lighter green and few prickles depending on variety. The differences seem to be between countries eg USA, Australia, Malta.",59,86,39,39,119,119,{'cucumbers'},set(),set(),set(),set()
27,2022-10-24 11:16:24.235451,"Leafy, green vegetable - heat tolerant so a good substitute for kale and cabbage in tropical areas. Also recommended for health reasons.
For best flavor and texture, leaves should be picked before they reach their maximum size.",46,86,16,20,56,77,"{'dill', 'dwarf beans', 'marigold', 'celery', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans'}",{3},{4},"{4, 5}","{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'climbing beans', 'eggplant', 'peppers (chili'}"
28,2022-10-24 11:16:25.668138,"Broadcast sow and thin to 45 cm apart. Grows to about 60cm.
Harvest 30 -45 days
A half-hardy herb with feathery leaves. . 
Grows more reliably from seeds as coriander is liable to bolt to flower and seed when seedlings are transplanted. 
Coriander is frost tender  but it doesn't like extreme heat. So in temperate zones  grow coriander during summer, in sub-tropical/tropical zones grow it during the cooler season.
Needs a sunny spot and mulch to prevent drying out. Keep very well watered. If they dry out, then they will bolt to seed. Plant in successions (planting new seed every few weeks) to get a continuous supply.",50,77,18,18,30,45,"{'dill', 'cabbages', 'carrots', 'anise', 'chervil'}",{3},{5},"{4, 5}",{'fennel'}
29,2022-10-24 11:16:27.300485,"Like lettuce in appearance and use, Lamb's lettuce is hardier.
Not suitable for growing in warm areas.
Grow quickly with a well enriched soil and keep watered - adding nitrogen every two weeks.",50,68,4,6,35,56,{'onions'},set(),set(),{3},set()
30,2022-10-24 11:16:28.685639,"Cowpeas are heat and dry tolerant but frost will finish them. Can be grown in cooler areas if they are started under cover and planted out after last frost.
They are an ancient food source and have probably been used since Neolithic times.",59,95,1,1,77,98,set(),set(),set(),"{4, 5}",set()
31,2022-10-24 11:16:30.380339,"A trailing plant which will grow tendrils as it gets bigger. Cucumbers can be started in small peat pots then transplanted when weather is suitable.
Lebanese cucumbers are best picked about 10 -12 cm (4 - 5 in) and eaten whole.
Gherkins are usually picked 5 or 6 cm (2 - 3 in) long and pickled. They have a prickly skin.
Apple cucumbers are round with a pale, almost white, smooth skin.
Grow in full sun up a trellis or framework to save space and keep the fruit clean. Needs ties to support it at first.
Water regularly and fertilise to encourage growth.",61,95,16,24,56,70,"{'cabbages', 'dill', 'sunflowers', 'celery', 'coriander', 'nasturtiums', 'sweet corn', 'beans', 'fennel', 'lettuce'}","{4, 5}","{5, 6, 7}","{5, 6}","{'potato', 'tomatoes'}"
32,2022-10-24 11:16:32.117885,"A long white radish, milder flavour than the small round or oval radishes.
Most varieties of Daikon prefer cooler weather. Have a tendency to 'bolt' or flower early in warm/hot weather. Choose a variety to suit your climate.
Grow in deep soil and water regularly. They will grow as big as large parsnips if left but the best flavour seems to be when they are about the size of a carrot.
Can be stored in the refrigerator for a couple of weeks if washed and dried and the leaves cut off.
A range of varieties of Daikon is available, some will do better in warm areas.",50,68,6,6,56,70,"{'spinach', 'cress', 'leeks', 'tomatoes', 'strawberries', 'chervil', 'lettuce'}",set(),set(),{5},"{'hyssop', 'gherkins'}"
33,2022-10-24 11:16:33.756508,"Dill is best grown as an annual.
It is easy to grow from seed and will produce wispy leaves growing on a single stem about 75cm (30in) high, which can be harvested about eight weeks after sowing.
Once the plant will begins to produce flower heads, the leaf production will stop.
Dill, like most herbs, grows best  in the sun, but will tolerate afternoon shade.
Dill grows up to 1M (36 in) tall, so plant it in the back of your flower, vegetable or herb garden. 
Sow seeds close together. This will allow the plants, which blow over easily, to support each other.
If you want to use dill seeds, let the seedheads  develop and dry completely, then cut them and hang them upside down by the stems in a paper bag. The seeds will dry and fall into the bag. They can then be stored in a glass jar.
Repeat sow for a regular supply of leaves.",50,68,6,6,56,84,"{'cabbage', 'coriander', 'tomatoes', 'broccoli', 'fennel'}",set(),set(),"{5, 6}",set()
34,2022-10-24 11:16:35.417438,"A large bushy plant with attractive purple flowers. Different varieties have different colours and sizes of fruit, ranging from the 'classic' large purple to the Thai small white varieties and Brazilian red.
Has spiky stems. Wear gloves to harvest fruit as the spikes on the calyx are sharp enough to break one's skin.
In cold climates grow in heated greenhouse and reduce artificial heat during summer.
Perennial in tropical climates otherwise grown as an annual.
Needs a long season. 
Start under cover and plant out when frosts have finished.
Some varieties with slim, long fruit such as Asian Bride produce their fruit earlier.
Mulch well and keep well watered.
May need staking",75,90,24,30,84,105,"{'thyme', 'capsicum', 'amaranth', 'beans', 'lettuce'}","{2, 3}",{5},{5},{'potatoes'}
35,2022-10-24 11:16:37.136971,"This is a green leafy plant which looks a bit like a crinkly lettuce.
Slightly bitter taste which can enhance a salad bowl but if this is not wanted the bitterness can be removed by blanching.
Blanch by tying the leaves together when a rosette begins to form or cover with a large pot for about 3 weeks.
Relative of chicory
Best grown in cooler months as hot weather might make it bolt to flower.
Keep well watered to reduce bitterness. Water at base as water trapped inside leaves will cause rot.",59,77,8,12,70,77,"{'carrots', 'sage.', 'cucumbers', 'beans', 'chervil', 'brassicas'}",{3},"{4, 5}","{4, 5, 6}","{'alliums', 'garlic', 'onions'}"
36,2022-10-24 11:16:38.785831,"A tall plant with feathery looking leaves. The whole plant has an aniseed flavour, including the seeds. 
Choose a place in the garden where it can self seed without causing too much trouble and there will be seedlings every year.
Needs staking to protect the seed heads.
Can grow to 1.5m (5 ft).
Keep watered, otherwise the leaves dry off.",50,77,12,12,98,105,set(),{3},{4},{5},{'vegetables'}
37,2022-10-24 11:16:40.484969,"This is a perennial grown as an annual as the stems become more fibrous with age.
 Both seeds and leaves have a mild aniseed flavour.
With its feathery leaves it makes a good background plant in a border. Grows to approx 1.5m (5ft)
Can be repeat sown throughout the year or left to self seed.
Fennel prefers well-drained fertile soil.",50,77,6,6,98,140,"{'sage', 'chicory', 'peas', 'cucumber', 'lettuce'}",{3},{4},{5},"{'tomatoes', 'beans'}"
38,2022-10-24 11:16:42.152586,"French tarragon a half hardy perennial herb that is native of southern Europe. 
It is frost tender - which may be one of the reasons that it is not particularly widely grown -
French tarragon is easy to grow but rarely sets seeds. 
It is propagated by division, or from cuttings. 
Seed grown tarragon is usually Russian tarragon which does not have such a good flavour.
French tarragon must have a sunny position 
The site should be sheltered from winds and winter frosts. Keep well watered in dry weather.
In autumn, mulch plants with a thick layer of straw or similar, to protect it over the winter.
Tarragon prefers well-drained soil which is not too high in nutrients. It will do equally well in full sun or partial shade.Â",50,77,16,24,30,40,"{'capsicum', 'peppers', 'aubergine', 'eggplant'}",{3},{4},"{4, 5}",set()
39,2022-10-24 11:16:43.896993,"Garlic is traditionally planted in cold weather and harvested in summer (""plant on the shortest day, harvest on the longest""). Plant the cloves (separated from the bulb), point upwards, deep enough to just cover with soil. A fairly tough and easy-growing plant but in better soil with regular watering you will get a better crop. On poorer soil, and forgetting to water them, you will still get some garlic, only not quite so much, maybe just a single large bulb.
Leave a garlic to go to seed, and you will probably get plenty of self-sown plants the following year.
To keep for later use, dig up and leave to dry out for a day or so after the green shoots die down. To use immediately, pull up a head when you need it, or cut and use the green shoots.",50,95,4,5,119,175,"{'dill', 'beets', 'carrots', 'cucumbers', 'tomatoes', 'parsnips'}",set(),set(),"{9, 10}","{'potatoes', 'peas', 'beans', 'brassicas', 'asparagus'}"
40,2022-10-24 11:16:45.557022,"Ginger is a warm climate plant. It can be grown indoors in pots in cool/temperate areas. To grow well it needs lots of water and nutrients.
Prepare the soil by adding compost which will retain some moisture but not get saturated. Add a small amount of sand to ensure drainage. Water regularly in summer to keep moist. In a pot, in addition to watering to keep moist, water ginger about once a fortnight with a seaweed or other liquid fertilizer.
This perennial will die down in autumn. Remove the dead leaves. In spring lift the root clumps and break them up into smaller pieces to replant.
Harvesting Ginger
You can harvest ginger root after the plant dies down in winter, digging around the plant to cut off a piece of the older root. The young root with shoots is the actively growing plant and should be left to resprout. 
You can also carefully dig down under the plant through the growing season to cut off bits of the older root for use, just be careful not to disturb the rest of the plant too much.
Let plants become well established before harvesting - it is often best to wait until the second growing season.
Make sure that you have edible ginger. Ginger plants sold in nurseries are usually decorative varieties and not suitable for eating. 
Ginger can be grown in pots. The best growing temperature is around 25 - 30C (75-85F)",68,86,6,6,175,175,set(),set(),set(),set(),set()
41,2022-10-24 11:16:47.276054,"Horseradish is grown from root cuttings. If you know someone who has it in their garden, just one piece of root will start off for you.
Dig a deep hole and refill with compost as the horseradish has a long taproot. Plant it and then leave it alone. Apart from constant wet or cold, horseradish will grow in any part of the garden. 
Horseradish is an aggressive grower and will quickly take over the garden. It will also grow well in a deep container or sink an old bucket in the ground to prevent spreading. Otherwise, remove all the plant when you harvest it and save one piece to replant.
Can be planted in early Autumn or Spring",50,77,20,20,112,168,set(),set(),set(),"{3, 4}",set()
42,2022-10-24 11:16:48.935863,"These are the edible root of a sunflower. Plant the tubers deep enough to cover with soil. They are quite drought-tolerant, but keep well-watered to grow larger tubers. They grow through the summer to 1.5m-tall sunflowers with a smallish flower. Dig up the tubers when the flowers die down in autumn. 
Get a couple of tubers from the supermarket or fruit shop. Two years after planting you will probably have enough to give away. Perennial, if you don't manage to harvest all the tubers they will regrow year after year.",46,59,12,18,105,140,"{'cucumbers', 'tomatoes'}",set(),set(),{4},set()
43,2022-10-24 11:16:50.657330,"Green leafy plant. Kale is a good addition or substitute for cabbage varieties.
Cavalo Nero can be grown in slightly smaller spacing.
Very winter hardy. Flavour is  improved by frost. Ornamental varieties are colourful, and edible.
Rotate with other crops to avoid clubroot infection.",46,86,20,39,49,70,"{'dill', 'dwarf beans', 'marigold', 'camomile)', 'celery', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber', 'bush beans'}",{2},"{3, 4, 5}","{3, 4, 5}","{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'chili', 'climbing beans', 'eggplant', 'peppers'}"
44,2022-10-24 11:16:52.389986,"The swollen stem looks like a turnip with reddish/purple cabbage leaves, usually purple or greenish white skin.
Protect from cabbage white butterflies",46,86,4,10,49,70,"{'dill', 'marigold', 'celery', 'chamomile', 'beets', 'onions', 'rhubarb', 'sage', 'nasturtium', 'cucumber'}",set(),set(),"{4, 5, 6}","{'strawberry', 'pole beans', 'mustard', 'capsicum', 'tomato', 'aubergine', 'chili', 'climbing beans', 'eggplant', 'peppers'}"
45,2022-10-24 11:16:54.131730,"A member of the onion family.
Looks rather like a large scallion or spring onion
Grow in seed trays or punnets until about 20cm (8in) tall. They look rather like large blades of grass at that stage. 
Then plant out into trenches or individual deep holes. The aim is to blanch the stems while the plants are growing.
Trenches should be about 20-25cm (8-10in) deep. Set the seedlings 10-15  cm (4 - 6in) apart then add enough soil to just cover the roots. As the plants grow fill the trench.
Otherwise - make holes with a dibble or suitable stick 15 cm (6 in) deep and 3-4 cm (1.5 - 2 in) wide. Drop a seedling in each and water enough to cover the roots with soil. As they grow, watering will gradually fill the hole.
Leeks prefer moist clay soils.  Keep soil moist and loose, mulch will help.",46,86,4,8,105,126,{'carrots'},"{2, 3}","{4, 5}","{4, 5, 6}",set()
46,2022-10-24 11:16:55.774265,"Lemon balm will grow from seed or cuttings. It self seeds readily and can become a nuisance if not checked.
Leaf shape is somewhat like mint and it likes to spread in the same way.
Pleasant lemon scent, released when a leaf is crushed.
Will grow in sun or part-shade. Lemon balm is shallow rooted so needs some water in hot dry weather. Does not like constant wet soil though.
Attracts bees.",50,77,10,10,56,70,set(),{4},{5},{5},set()
47,2022-10-24 11:16:57.515875,"Lettuce offer a range of shapes, sizes and colours but they are all easy to grow.
Choose a variety marked on the seed packet as suitable for the time of year as some do badly in the very hot months.
Try to provide some shade to prevent them 'bolting' to flower and seed in the hottest months.
Sow in rows and use thinnings as small salad greens
Lettuce are shallow rooted so water daily in hot or dry weather to prevent bitter flavour. and bolting.",46,81,8,12,56,84,"{'marigold', 'borage', 'florence fennel', 'beets', 'carrots', 'onions', 'radish', 'leeks.', 'strawberries', 'chervil', 'brassicas'}","{2, 3}","{4, 5}","{4, 5, 6, 7}","{'celery', 'parsley'}"
